MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Delta_1,Delta_2,Delta_3,Delta_4,Delta_5,Delta_6,Delta_7,Delta_8,Delta_9,Delta_10,Delta_11,Delta_12,Delta_13,Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Chroma_12
-0.07246548,0.32410523,0.54345846,0.266399,0.2520469,0.20824735,0.22835208,0.19325525,-0.45863554,-0.01194779,0.2154258,-0.647205,-0.025655188,0.0031831148,0.4853834,-0.79661655,-0.5102819,-1.3070644,-0.038943667,0.57648027,-0.48314553,0.59569126,0.6573909,0.41093266,-0.37721798,1.5446649,1.2561375,-0.22971502,-0.72546345,-0.7103825,-0.75808436,-0.5305759,-0.72000754,0.7003526,1.2701883,0.40836376,-0.65343624,-0.21298392
-0.1290259,0.063453756,0.1588303,0.65394163,0.05646352,0.27430683,-0.2779053,0.07136079,0.3062865,-0.30764297,-0.13988385,-0.68931955,0.71366,0.38811985,0.9438233,-1.0718546,-1.0797912,-1.6307896,-0.07341387,0.5850247,-0.09799035,0.680894,0.8652584,0.4251479,0.11165983,1.0210118,2.0303204,0.0003095077,-0.4698512,-0.40585476,-0.09541318,0.36684084,0.47364363,0.61295056,1.0478201,1.2436192,-0.09933639,0.8358147
0.013039149,-0.017352149,-0.12960212,0.15337838,-0.3767411,0.025331412,-0.86525404,0.11178004,0.44081405,-0.985129,-1.4113925,-1.0868353,0.55960214,0.5774164,1.1209002,-1.1290886,-1.3002065,-1.5776273,-0.16534117,0.47829098,0.26291183,0.3622096,0.911308,0.51329625,0.40297464,0.20444785,0.3483587,-0.5200275,-0.57313913,-0.3831671,-0.09467517,0.22276261,0.056679644,0.67919886,0.67286855,1.5357383,0.21776004,0.5158328
0.6014617,1.1257889,-0.21685717,-1.6510699,-1.6614764,-0.036873985,-0.5250576,-0.78008634,-0.7451711,0.16778952,-0.33404195,-0.67598784,-0.85568273,0.5761434,1.0915287,-0.7821881,-1.3024273,-1.4978821,-0.34900448,0.36084858,0.6485736,0.07639114,0.75531226,0.5813661,0.31122413,-0.096662074,-0.9942052,-0.5389116,-0.28406313,-0.46657723,-0.41017145,-0.26201385,-0.35548648,0.9655685,-1.1914266,-0.8263513,-1.0559915,-0.9672309
0.8760979,1.5232805,-0.5991229,-1.5890735,-1.9643081,-0.030897625,0.24525622,-0.26277924,-0.43295646,0.44953018,-0.2912283,-1.1475282,-0.66023576,0.395848,0.97029954,-0.41483274,-1.2448925,-1.156301,-0.6980586,0.4053048,0.7953336,0.08244603,0.90112406,0.85236675,0.2780588,0.060720377,-1.3104582,-1.0779952,-0.9552537,-1.0065411,-0.99792165,-1.1852589,-0.45785633,0.9655685,-1.2165442,-0.5087638,-0.8812575,-1.2465024
0.809028,1.4433522,-0.7940726,-1.370577,-1.4697058,-0.1590004,0.78251565,0.87707597,0.08371021,1.1529846,0.5356886,-0.46877074,-0.38747764,0.05776074,0.7178416,-0.017280234,-0.937942,-0.544988,-0.8336857,0.66014993,0.83514726,0.11148426,0.8725795,1.3936726,0.22398244,0.21539794,-1.3582473,-1.1710224,-0.9672635,-0.8906917,-1.1296817,-1.021793,1.3442309,0.57695055,-1.233497,-0.6051101,-0.9487385,-1.2466692
0.6035107,1.2046155,-0.48728102,-1.0156305,-1.0903292,-0.46932238,0.50127685,1.2928221,-0.41375226,1.4366409,0.45999998,-0.11437171,-0.19634888,-0.3230678,0.25117108,0.27422476,-0.23573133,0.13046831,-0.6628483,0.86118305,0.9139959,0.45953152,0.3579098,1.304105,-0.054802246,0.640921,-1.4087489,-1.3430718,-1.2638847,-1.2354476,-1.4351543,-1.0726457,1.3442309,-1.4590871,-1.764001,-2.0473492,-1.7102726,-1.535658
0.40093413,1.011519,0.014054457,-0.9215859,-1.1904713,-0.8752578,0.09583607,1.3652872,-0.5852773,0.596064,0.45621714,-0.57327896,0.21714108,-0.6491089,-0.42597842,0.46753743,0.4682691,0.70549214,-0.5820731,0.5109703,0.9323054,0.9856262,-0.52844864,0.5515229,-0.28456542,0.974622,-1.1353838,-1.1782323,-0.8987745,-0.8530971,-1.2115908,-0.44861317,1.3442309,0.32340795,-1.2310036,-1.7992599,-1.4682964,-1.163099
0.20214315,0.9420268,-0.06411637,-1.2756348,-1.1411041,-1.35421,-0.02692746,1.1127827,0.44455636,0.5765776,0.6532779,-0.29218662,0.8425855,-0.6838088,-0.5996647,0.68175435,0.5506668,0.8661983,-0.22472586,-0.019814368,0.14530714,0.6973809,-0.8593232,0.069331296,-0.33551136,0.08812618,-1.2457553,-1.0543872,-1.0821551,-1.1858554,-1.3317579,-1.1254913,1.3442309,0.082367964,-1.5250119,-2.024646,-1.6767604,-1.3646091
0.014341632,0.97533345,0.047339205,-1.2296962,-1.0267878,-1.3772447,0.45962033,0.90195566,0.31620812,0.69508094,0.94248265,-0.7543687,0.396881,-0.50127876,-0.64765245,0.72543174,0.69540024,0.78635854,0.35625967,-0.39625648,-0.5560924,0.292084,-0.9692132,-0.3940904,-0.101762235,-0.3594576,-1.1908432,-1.0026201,-1.0752224,-1.2487074,-0.8400178,0.18188842,1.3442309,-0.613455,-1.5809029,-2.0466595,-1.5134933,-1.3176775
-0.007341014,1.0187153,0.10524283,-1.0698792,-0.9514808,-0.6981045,1.0012808,1.376752,0.46581095,-0.26693788,0.1980885,-1.30821,0.1262954,-0.2804961,-0.822689,0.5335115,0.94322777,0.799786,0.8454056,-0.52609164,-0.8577611,0.17548367,-0.76628274,-0.6570128,0.5301505,-0.46699756,-1.423108,-1.1447376,-1.1773065,-1.2981745,-0.21413441,2.1210942,-0.6989641,-1.7018826,-1.4922384,-1.2981601,-1.1645284,-1.4061959
-0.008262359,0.9210587,0.17567147,-0.8705194,-0.8976639,-0.970321,0.5291424,1.4273036,0.8465692,-0.5632149,0.43185923,-0.8395743,-0.013730694,-0.12319718,-1.1871791,0.21602823,1.2714332,0.887406,1.1140082,-0.6529116,-0.90611255,0.27931312,-0.23651117,-0.82191837,0.81493676,-0.5238419,-1.2937186,-0.986343,-1.0793823,-1.0253799,-0.13545616,1.7292345,1.3442309,-0.7367224,-0.87628746,-0.24123435,-0.89965165,-1.4103433
0.028530316,0.7731805,0.41996902,-0.47230634,-0.39432845,-0.09634913,-0.047416493,-0.12560704,0.10229698,-0.1752768,0.13328853,-0.8300128,-0.8564335,-0.04797595,-1.5457653,0.03895342,1.6285967,0.9529925,1.0733179,-0.9302846,-0.8772128,0.34789294,0.16626482,-0.9005889,0.60368204,-0.4701776,-1.2638171,-1.1245469,-1.0096341,-0.8402359,-0.82867134,-1.0164547,0.36583737,0.9655685,0.49574584,-0.99354154,-1.4746375,-1.4508832
0.12183161,0.44942763,0.5764116,-0.09452151,-0.26353392,0.7264101,-0.463602,-0.29010016,-0.41075397,0.07247244,0.23737344,0.4553513,-0.21300454,-0.018412998,-1.6059139,-0.01175737,1.7594556,0.9580406,0.7522261,-1.1193684,-0.7597577,0.50498956,0.34983543,-0.7301803,0.63654715,-0.23897679,-1.1927365,-1.1333632,-0.8863234,-0.7162449,-0.9039069,-1.2620343,-1.180765,0.23003784,1.2701883,-0.781562,-1.4901683,-1.4824805
