Time (s),Amplitude,Frequency (Hz),Magnitude
0.0136875,1.7196257e-05,,
0.01375,3.2553246e-05,,
0.0138125,2.9467068e-05,,
0.013875,5.435002e-05,,
0.0139375,6.574282e-05,,
0.014,5.1772062e-05,,
0.0140625,4.4964414e-05,,
0.014125,4.4019514e-05,,
0.0141875,6.0182087e-05,,
0.01425,1.5119578e-05,,
0.0143125,-1.9847912e-05,,
0.014375,-3.0495099e-05,,
0.0144375,-3.217122e-05,,
0.0145,-4.65427e-06,,
0.0145625,8.4680505e-07,,
0.014625,2.338129e-07,,
0.014687500000000001,-1.2192104e-06,,
0.014750000000000001,2.3485623e-05,,
0.014812500000000001,-1.5788155e-05,,
0.014875000000000001,-2.9889641e-05,,
0.014937500000000001,4.9611335e-06,,
0.015,-6.891649e-06,,
0.0150625,-3.1451193e-05,,
0.015125,-2.837594e-05,,
0.0151875,-4.4710872e-05,,
0.01525,-6.3342086e-05,,
0.0153125,-1.1306289e-05,,
0.015375,9.0316826e-07,,
0.0154375,-5.982506e-07,,
0.0155,3.7804875e-06,,
0.0155625,3.3669356e-05,,
0.015625,4.7926635e-05,,
0.0156875,3.4427256e-05,,
0.01575,-4.567596e-07,,
0.0158125,-3.353731e-05,,
0.015875,-2.8392733e-05,,
0.0159375,-3.3023283e-05,,
0.016,-2.4435594e-05,,
0.0160625,1.355993e-07,,
0.016125,2.233337e-05,,
0.0161875,-1.4135164e-05,,
0.01625,-3.4847e-05,,
0.0163125,-2.793083e-05,,
0.016375,-3.0462283e-05,,
0.0164375,1.8284383e-05,,
0.0165,2.9814148e-05,,
0.0165625,-1.7167898e-05,,
0.016625,-9.602954e-06,,
0.0166875,6.133037e-06,,
0.01675,-9.93363e-06,,
0.0168125,-1.6319042e-05,,
0.016875,2.7624825e-05,,
0.0169375,3.1842002e-05,,
0.017,2.8715545e-05,,
0.0170625,3.359017e-05,,
0.017125,2.0404514e-06,,
0.0171875,1.3504149e-05,,
0.01725,1.2758707e-05,,
0.0173125,-2.0207492e-05,,
0.017375,-3.7996078e-06,,
0.0174375,3.8400514e-05,,
0.0175,-2.6308198e-06,,
0.0175625,2.91334e-05,,
0.017625000000000002,9.006206e-05,,
0.017687500000000002,4.4827488e-05,,
0.017750000000000002,-4.2056334e-05,,
0.017812500000000002,-9.347571e-05,,
0.017875000000000002,-0.00013036188,,
0.017937500000000002,-0.000104078776,,
0.018000000000000002,-4.770079e-05,,
0.0180625,-4.4414526e-05,,
0.018125,-5.9529966e-06,,
0.0181875,1.5409816e-05,,
0.01825,5.8998674e-05,,
0.0183125,0.00011190356,,
0.018375,9.132092e-05,,
0.0184375,1.1173488e-05,,
0.0185,-2.5948744e-05,,
0.0185625,-3.121666e-05,,
0.018625,-5.5020253e-05,,
0.0186875,-5.3556847e-05,,
0.01875,3.3140626e-05,,
0.0188125,0.00010868894,,
0.018875,0.00010616754,,
0.0189375,0.000107963686,,
0.019,3.843935e-05,,
0.0190625,3.846835e-05,,
0.019125,9.5632335e-05,,
0.0191875,1.3114955e-05,,
0.01925,-4.0234627e-05,,
0.0193125,-1.3486628e-05,,
0.019375,1.9772133e-06,,
0.0194375,-5.2349093e-05,,
0.0195,-4.98664e-05,,
0.0195625,-1.1404596e-05,,
0.019625,-3.4769408e-05,,
0.0196875,-3.9405033e-05,,
0.01975,-7.4946176e-05,,
0.0198125,-6.5681816e-05,,
